name,prompt,negative_prompt
Illustrations | Botanical - 插畫 | 植物,"Kawaii anime art style, cute, adorable characters with big eyes and small mouths, pastel colors, playful and endearing","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Cartoon - 插畫 | 卡通,"Mecha anime art style, focuses on giant robots and mechanical suits, intricate mechanical designs, dynamic action scenes, futuristic settings, appeals to fans of science fiction and action genres","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Character Design - 插畫 | 角色設計,"Realistic anime art style, combines anime aesthetics with lifelike details, detailed character designs, intricate backgrounds, immersive storytelling","painting, drawing, signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Chibi - 插畫 | Q版 (Chibi),"Cartoon illustration style, whimsical and expressive characters, exaggerated features and emotions, versatile and adaptable for various storytelling purposes","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Children Book Illustration - 插畫 | 童書插畫,"cartoon digital painting art style, isolated on solid white background, adorable, big eyes, cute cartoon character","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Comic Book - 插畫 | 漫畫,"Children's book illustration style, whimsical and charming imagery, bright and playful colors, engaging characters and storytelling, cartoon","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Concept Art - 插畫 | 概念藝術,"Fantasy illustration style, transports viewers to imaginative worlds, epic landscape, and heroic adventures, sparks wonder and inspiration","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Cyberpunk - 插畫 | 賽博龐克,"Watercolor cartoon illustration on solid white background, enchanted, adorable, Digital Cartoon Illustration, a simple and charming design","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Dark Fantasy - 插畫 | 黑暗幻想,"Fashion illustration style, captures the latest trends and designs in clothing and accessories, elegant and stylized figures, showcases creativity and imagination in the fashion industry","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Digital Art - 插畫 | 數位藝術,"Game art illustration style, game illustration, diverse and immersive visuals, whimsical, dynamic characters and environments, rich color palettes, enhances storytelling and gameplay experience","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Doodle - 插畫 | 塗鴉,"Illuminated manuscript art style illustration, medieval illustration, intricate and detailed illustration, vibrant colors and gold leaf accents,  showcases meticulous craftsmanship and dedication","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Editorial - 插畫 | 編輯插畫,"Pop art illustration style, vibrant and bold colors, uses imagery from popular culture, incorporate elements of mass media and consumerism, celebrates the mundane and everyday objects","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Fantasy - 插畫 | 幻想,"Retro illustration style, nostalgic and vintage aesthetics, inspired by design elements from past decades, evokes a sense of nostalgia and charm","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Fantasy Creature - 插畫 | 幻想生物,"Modern illustration style, contemporary and cutting-edge, embraces new techniques and technologies, reflects current trends and cultural influences","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Fashion - 插畫 | 時尚,"Modernism illustration style, embraces experimentation and abstraction, breaks away from traditional representation, explores new forms and techniques, reflects the spirit of innovation and progress.","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Flat Design - 插畫 | 扁平設計,Sticker art style isolated on solid color background,"signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Furry Art - 插畫 | 擬獸 (Furry),"Cute adorable cartoon sticker art style isolated on solid color background, charming and endearing characters or designs, appeals to emotions like joy and affection","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Graffiti - 插畫 | 塗鴉藝術,"Sticker art style isolated on solid color background, watercolor painting art style, transparent and delicate layers, luminous and ethereal effects, spontaneous and fluid compositions, subtle gradients and blending","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Graphic Novel - 插畫 | 圖像小說,"drawing art style, expressive lines, dynamic composition","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Grimdark - 插畫 | 暗黑寫實,"dark blue color ballpoint pen drawing art style, expressive dark blue lines, dynamic compositions, professional-grade execution, captures the spontaneity and fluidity of sketching","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Icon Design - 插畫 | 圖標設計,"Caricature art style, exaggerated features, humorous interpretation, dynamic composition, professional-grade execution, adds humor and personality, captures essence in a playful manner","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Infographic - 插畫 | 資訊圖表,"caricature art style, highly exaggerated features, humorous interpretation, bold and dynamic composition, professional-grade execution, adds humor and personality, captures essence in a exaggerated playful manner","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Isometric - 插畫 | 等距視角,"charcoal drawing style, dramatic contrast, expressive strokes, rich textures, dynamic composition, professional-grade finish, classic aesthetic","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Kawaii - 插畫 | 可愛 (Kawaii),"Colored pencil drawing art style, vibrant colors, delicate shading, professional-grade execution, captures the richness and depth of traditional drawing techniques","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Line Art - 插畫 | 線稿,"graphite drawing art style, subtle tones, delicate shading, precise detailing, fine textures, expressive lines, intricate compositions, timeless elegance, professional-grade finish, immersive depth, classic aesthetic","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Logo Design - 插畫 | 標誌設計,"Ink drawing art style, bold lines, expressive strokes, high contrast, intricate details, dynamic compositions, versatile medium, professional-grade finish, classic aesthetic, adds depth and texture, timeless elegance","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Low Poly - 插畫 | 低多邊形,"pastel drawing art style, pastel colors, delicate shading, dynamic composition, soft and velvety pastel textures, amazing pastel drawing","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Mandala - 插畫 | 曼陀羅,"pen drawing art style, precise lines, intricate details, high contrast, dynamic compositions, versatile medium, professional-grade finish, timeless elegance, creates bold and expressive strokes","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Map Illustration - 插畫 | 地圖插畫,"Pencil drawing art style, delicate shading, precise lines, professional-grade execution, captures the subtlety and texture of graphite","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Mecha - 插畫 | 機甲,"Scratchboard drawing art style, intricate details, dramatic contrast, professional-grade execution, captures the tactile quality and depth of etching","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Minimalist - 插畫 | 極簡,"Technical drawing art style, precise and detailed, emphasizes accuracy and clarity, communicates complex ideas visually","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Pixel Art - 插畫 | 像素藝術,"Zentangle drawing art style, clean, minimalist, meditative and relaxing, uses repetitive patterns and structured designs to create intricate and abstract artworks, precise lines, professional-grade execution, contrast, black and white","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Portrait - 插畫 | 人像,"professional 3d render, 3D render artistic style, intricate details, creative composition, professional rendering, photorealistic textures, dynamic lighting, captivating visuals, octane render, highly detailed, volumetric, dramatic lighting","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Psychedelic - 插畫 | 迷幻風格,"abstract 3D render, abstract 3d art, imaginative design, dynamic lighting, immersive presentation, captivating visuals, high-quality rendering techniques, innovative concept, unique aesthetics, creative compositions, visually stunning results, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Retro - 插畫 | 復古,"fluid dynamics 3D art style, 3d fluid render, expressive and dynamic, vibrant contrasting colors, lively appearance, mesmerizing flow of shapes, simulation of fluid dynamics, swirling motion, bold colors blending seamlessly, abstract and captivating, fluidity and energy, mesmerizing composition, engaging viewer experience, seamless integration of colors and shapes, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Sci-Fi - 插畫 | 科幻,"modern abstract 3D art style, focusing on organic shapes and objects, soft colors, captivating composition, tactile qualities, smoothness, softness, contrast between matte and shiny textures, depth and interest, blend of textures, minimalistic yet complex aesthetic, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Silhouette - 插畫 | 剪影,"professional 3D architectural rendering, realistic visualization, intricate detailing, lifelike textures, dynamic lighting, immersive environment, photorealistic representation, captivating visuals, realistic materials, professional rendering techniques, volumetric, 4k","painting, low-quality rendering, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Sketch - 插畫 | 素描,"professional 3D character design,  dynamic pose, expert character design, engaging storytelling, captivating visuals, imaginative concept, high-quality rendering, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Stained Glass - 插畫 | 彩色玻璃,"professional 3D cartoon character design, whimsical animation, vibrant personality, exaggerated features, dynamic pose, expert character design, colorful textures, engaging storytelling, versatile animation styles, captivating visuals, imaginative concepts, playful interactions, high-quality rendering, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Sticker Design - 插畫 | 貼紙設計,"professional 3D design of a cute and adorable cartoon character with big eyes, charming animation, endearing personality, exaggerated features, dynamic pose, captivating expression, expert character design, vibrant and colorful textures, engaging storytelling, versatile animation style, high-quality render, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Steampunk - 插畫 | 蒸汽龐克,"3d game item, high-quality 3D rendering of a game asset, dynamic lighting, captivating visuals, seamless integration, realistic materials, high-quality rendering techniques, versatile application, innovative concepts, optimized for gaming engines, volumetric, 4k","low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Storybook - 插畫 | 故事書插畫,"professional hard surface 3D design modeling, hard surface expert modeling, hard surface 3d render, precise detailing, captivating visuals, professional-grade design, dynamic appearance, attention-grabbing aesthetics, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Surrealism - 插畫 | 超現實主義,"3D icon design, isolated on solid background, creative icon design, minimalist, depth and dimensionality, dynamic lighting, captivating visuals, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Tattoo Design - 插畫 | 刺青設計,"isometric 3D render, isometric 3D design, isometric perspective, precise perspective, clean, dynamic lighting, captivating visuals, immersive presentation, high-quality rendering techniques, volumetric, dramatic lighting, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Vector Art - 插畫 | 向量藝術,"Low poly 3D design aesthetic, minimalist and stylized appearance, expert modeling software, efficient detailing, immersive presentation, captivating visuals, professional-grade design, dynamic and clean appearance, versatile application, attention-grabbing aesthetics, efficient rendering, suitable for performance-sensitive applications such as games and simulations","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
Illustrations | Vintage - 插畫 | 復古,"3d mechanical render, mech style, scifi, futuristic, detailed mech 3D rendering, intricate design, dynamic lighting, captivating visuals, high-quality rendering techniques, futuristic aesthetics, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
||| 3D | 三維藝術,"detailed 3D model representation, 3d render, captivating visuals, professional-grade design, dynamic appearance, high-quality rendering techniques, volumetric, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
3D | Model - 3D | 模型,"professional 3d model, 3D product visualization, octane render, immersive presentation, photorealistic rendering, captivating visuals, realistic materials, highly detailed, volumetric, dramatic lighting, 4k","low poly, blurry, painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
3D | Product - 3D | 產品,"futuristic 3D rendering, imaginative design, dynamic lighting, immersive presentation, volumetric, futuristic elements, captivating visuals, realistic materials, high-quality rendering techniques, innovative concepts, otherworldly atmosphere, futuristic aesthetics, immersive storytelling, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
3D | Sci-Fi - 3D | 科幻,"professional 3D vehicle render, realistic representation, intricate detailing, dynamic lighting, immersive presentation, seamless integration, photorealistic rendering, captivating visuals, realistic materials, high-quality rendering techniques, octane render, highly detailed, volumetric, dramatic lighting, 4k","painting, low-quality rendering, photo, photorealistic, realism, ugly, worst quality, low quality, lowres, JPEG artifacts"
3D | Vehicle - 3D | 載具,"Vector art style, crisp lines, scalable graphics, professional-grade execution, clean, sharp","painting, signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
||| VECTOR | 向量藝術,"Vector coloring book page style, clean and crisp lines, on solid white background, scalable and editable artwork, suitable for printing and digital coloring, promotes creativity and relaxation, black and white, contrast, profesional, minimalist","painting, signature, shading, gray, gradient, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Vector | Coloring Book Page - 向量 | 著色本頁面,"Modern flat vector style art on solid color background, minimalist,  flat vector art, corporate artstyle, simplified shapes, modern color palette, modern conceptual art, clean lines, geometric forms, contemporary graphic design influence, stylized character features, playful touch, visually appealing, clear communication of ideas, suitable for modern media, web design, advertising, cheerful and engaging aesthetic, easily adaptable","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Vector | Flat Art Style - 向量 | 扁平風格,"black vector line art on solid white background, minimalist, vector line art style, clean lines, scalable graphics, professional-grade execution, stylized, professional vector, sleek, modern, graphic, vector graphics","painting, signature, shading, gradient, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Vector | Line Art - 向量 | 線稿,"vector logo art style, on solid color background, vector logo symbol, stylized logo, logo icon, minimalist, clean, clean and scalable designs, precise lines, professional-grade execution, emphasizes simplicity and versatility","signature, shading, gradient, painting, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Vector | Logo Symbol - 向量 | 標誌符號,"black vector silhouette on solid white background, minimalist, SVG silhouette art style, clean lines and shapes, scalable graphics, professional-grade execution, stylized, professional vector","signature, shading, gradient, painting, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Vector | Silhouette - 向量 | 剪影,"cute cartoon black vector silhouette on solid white background, minimalist, SVG silhouette art style, adorable, clean lines and shapes, scalable graphics, professional-grade execution, stylized cartoon, professional cartoon vector","signature, shading, gradient, painting, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Vector | Silhouette Cute - 向量 | 可愛剪影,"design style, professional design","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
||| DESIGN | 設計,"Avatar design style, visually appealing and distinctive avatar, professional-grade execution, represents individual or brand identity effectively, enhances online presence and engagement","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Avatar - 設計 | 頭像,"Banner design style, eye-catching and informative banner, professional-grade execution, effectively communicates message or event details, captures attention","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Banner - 設計 | 橫幅,"Brochure design style, informative and visually appealing layout, professional-grade execution, effectively communicates product or service details, enhances brand credibility","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Brochure - 設計 | 摺頁冊,"Business card design style, professional and memorable card, professional-grade execution, effectively represents brand identity and contact information","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Business Card - 設計 | 名片,"Event invitation design style, visually appealing and informative invitation, professional-grade execution, effectively communicates event details, encourages attendance","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Event Invitation - 設計 | 活動邀請函,"Favicon design style, isolated on white background, small and recognizable website icon, professional-grade execution, enhances brand recognition and website identity, complements overall design aesthetic","complex, boring, signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Favicon - 設計 | 網站圖標,"Flyer design style, visually appealing and informative flyer, professional-grade execution, effectively promotes an event or product, engages audience","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Flyer - 設計 | 宣傳單,"Icon design style, visually clear and recognizable icon, professional-grade execution, effectively conveys concepts or actions, enhances user interface and experience","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Icon Design - 設計 | 圖標設計,"minimalist modern black icon design on solid white background, simple stylized icon, vector graphic icon, clean and minimalist vector icon, professional-grade execution, enhances visual clarity and simplicity","complex, boring, signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Icon Design Simple Black - 設計 | 簡約黑色圖標,"Infographic design style, visually engaging and informative graphic, professional-grade execution, effectively communicates complex information or data, enhances understanding","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Infographic - 設計 | 資訊圖表,"Letterhead design style, professional and branded letterhead, professional-grade execution, enhances brand identity and communication","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Letterhead - 設計 | 信箋抬頭,"Logo design style, custom and memorable logo, professional-grade execution, captures brand identity and values, timeless and iconic design","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Logo - 設計 | 標誌,"Magazine layout design style, visually appealing and well-organized layout, professional-grade execution, effectively showcases content and articles, enhances reader experience","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Magazine Layout - 設計 | 雜誌版面,"Menu design style, visually appealing and informative menu, professional-grade execution, effectively presents food and beverage options, enhances dining experience","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Menu - 設計 | 菜單,"Packaging Design, Brand Identity, Visual Communication, Product Presentation, Consumer Appeal, structural integrity, graphic elements, brand recognition, marketing impact, professional design","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Packaging - 設計 | 包裝,"Poster design style, poster art, visually striking and informative poster, professional-grade execution, poster graphic design","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Poster - 設計 | 海報,"Website design style, web page, user-friendly interface, visually appealing layout, professional-grade execution, responsive design, enhances user experience and engagement","signature, watermark, ugly, off-center, deformed, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
Design | Website - 設計 | 網站,"Mainstream fashion, reflects current trends and styles, easily accessible to the general public, stylish","signature, watermark, ugly, off-center, deformed, cropped, worst quality, low quality, lowres, JPEG artifacts"
時尚 | 海灘服,"Beachwear fashion style, designed for leisure activities and relaxation, features lightweight and breezy clothing, reflects a carefree and laid-back attitude","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 比基尼,"Bikini fashion style, bikini, reflects a sense of freedom and liberation","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 波希米亞風（Boho）,"Boho fashion style, inspired by bohemian and hippie aesthetics, characterized by free-spirited and eclectic clothing choices, features flowing fabrics, floral prints, and ethnic-inspired details, promotes individuality and self-expression, embraces a laid-back and carefree attitude","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 角色扮演（Cosplay）,"Cosplay fashion style, allows individuals to embody their favorite fictional characters, promotes creativity and craftsmanship, features elaborate costumes and accessories, celebrates diverse interests and fandoms","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 賽博朋克（Cyberpunk）,"Cyberpunk fashion style, inspired by futuristic dystopian settings, features high-tech and futuristic clothing, incorporates elements of technology and urban culture, promotes a bold and avant-garde aesthetic","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 搖滾哥德（Emo Fashion）,"Emo fashion style, characterized by dark colors, layered clothing, and edgy accessories, allows individuals to express emotions and individuality, often incorporates elements of punk and gothic styles, promotes self-expression and authenticity","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 魅力風格（Glamour）,"Glamour fashion style, epitomizes sophistication and elegance, features luxurious fabrics like silk and satin, embellishments, promotes a polished and glamorous look, opulence and refinement","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 哥德風（Goth）,"Goth fashion style, characterized by dark and dramatic clothing choices, often includes black clothing, lace, leather, and Victorian-inspired elements, promotes a sense of mystery and theatricality, celebrates beauty in the macabre, encourages self-expression and embracing the unconventional","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 金屬搖滾風（Metalhead）,"Metalhead fashion style, inspired by heavy metal music culture, features black clothing, leather jackets, band t-shirts, and metal accessories, promotes individuality and rebellion, celebrates a love for music and expression through clothing","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 極簡風（Normcore）,"Normcore fashion style, embraces simplicity and everyday clothing items, focuses on comfort and practicality, promotes a minimalist and unpretentious aesthetic, encourages mixing and matching basic wardrobe staples, celebrates understated elegance and timeless style","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 學院風（Preppy）,"Preppy fashion style, characterized by classic and timeless clothing choices, features tailored silhouettes, vibrant colors, and traditional patterns like plaid and stripes, promotes a polished and sophisticated look, reflects a sense of privilege and tradition associated with elite education","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 搖滾復古（Psychobilly）,"Psychobilly fashion style, combines elements of rockabilly, punk, and retro influences, characterized by bold prints, vintage-inspired clothing, and edgy accessories, promotes a rebellious and retro aesthetic, encourages individuality and creativity","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 派對狂歡風（Rave）,"Rave fashion style, vibrant and colorful clothing choices, featuring neon colors, bold patterns, and futuristic designs, encourages self-expression and creativity, incorporates elements of dance culture and electronic music, promotes a sense of community and celebration","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 科幻風（Sci-Fi）,"Sci-Fi Inspired fashion style, draws inspiration from science fiction movies, and futurism, features futuristic silhouettes,  and avant-garde designs, promotes imagination and innovation in fashion, explores concepts of technology","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 性感風（Sexy）,"Sexy fashion style, embraces sensuality and confidence, beauty, allure, reflects a bold and seductive attitude","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 運動服（Sportswear）,"Sportswear fashion style, designed for athletic activities and casual wear, features comfortable and functional clothing, and performance fabrics, promotes an active lifestyle and physical fitness","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 蒸汽朋克（Steampunk）,"Steampunk fashion style, inspired by Victorian-era machinery and science fiction, features a mix of vintage clothing with futuristic elements, promotes creativity and craftsmanship, encourages DIY and upcycling, celebrates a love for exploration and adventure","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 街頭風（Streetwear）,"Streetwear fashion style, influenced by urban culture and street fashion, features casual and comfortable clothing with bold graphics, promotes self-expression and individuality, celebrates creativity and innovation in design, reflects the diverse influences of music, art, and sports","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 復古風（Vintage）,"Vintage fashion style, embraces clothing and accessories from previous eras, celebrates timeless designs and craftsmanship, allows for unique and one-of-a-kind looks, evokes nostalgia and a sense of history","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
時尚 | 冬季服飾（Winter）,"Winter fashion style, designed for cold weather, features cozy and warm clothing, comfort and chicness","signature, watermark, low quality, JPEG artifacts, off-center, deformed, cropped, worst quality"
||| ART STYLES - 藝術,art style,"ugly, off-center, deformed, 35mm film, dslr, cropped, frame, signature, watermark, worst quality, low quality, lowres, JPEG artifacts"
藝術 | 非洲傳統（African Traditional）,"African traditional art style, bold patterns, vibrant colors, intricate designs, dynamic compositions, cultural heritage, adds richness and depth","signature, watermark, photo, photorealistic, realism, ugly, off-center, deformed, 35mm film, dslr, cropped, frame, worst quality, low quality, lowres, JPEG artifacts"
